example_id,customer_tweet_id,customer_text,intent,confidence,is_ambiguous,ambiguity_reason,language,expected_action,should_escalate,escalation_reason,annotator,sampling_bucket,sampling_score
G158,1123332,@115850 I'm not received my order but it's show on your website that it deliver Order# 405-7714668-3126740. Orient Fan refund not came,,,,,english_or_unknown,,,,,boundary_case,13.0
G159,1123665,"Order# 404-0826305-2650729
Ordered 11-Sept-17
Redmi 4 (Black, 64 GB)

Its front camera doesn't work properly. Return required #AmazonIndia",,,,,english_or_unknown,,,,,boundary_case,13.0
G160,1125175,"@AmazonHelp @118919  I have not received my cashback for order no. 403-7428184-1258738 dated 20 November.
What r u wanted prove? 
I have already mentioned detail on my Facebook account 5 hour ago. No response....
Don't tease me.....",,,,,english_or_unknown,,,,,boundary_case,13.0
G161,1125285,@115850 order no.407-4654789-4378737 nt been delivered bt showing delivered ystrday no response from your side. Kindly deliver or refund,,,,,english_or_unknown,,,,,boundary_case,13.0
G162,1134007,"@115850 @115821 where is my order, ur call center is horrible. I can’t chase u anymore give the product or the refund. 407-0490236-8049166",,,,,english_or_unknown,,,,,boundary_case,13.0
G163,1139819,"@AmazonHelp Guys, I have placed a return request for #404-8643971-2513927 order and waiting for an update. Can you please do the needful.",,,,,english_or_unknown,,,,,boundary_case,13.0
G164,1144152,How is outside my front door in clear view of the street the safeplace location stated on my parcel??? @115830 @126705 https://t.co/VGk3p5wizO,,,,,english_or_unknown,,,,,short_noisy,10.0
G165,1145022,"@115850 awaiting refund for order Order: 407-9791971-0123514. more than 2 weeks since i cancelled, still money not received.",,,,,english_or_unknown,,,,,boundary_case,13.0
G166,1158999,"@115850 Got disappointed, wrong item delivered. When applied for return, no response from Amazon. Order no 406-2540601-7024356",,,,,english_or_unknown,,,,,boundary_case,13.0
G167,1200824,@115850 not received order no 171-7360326-1361943. False promise for replacement by associate login id MYQNISH52. Poor customer support.,,,,,english_or_unknown,,,,,boundary_case,13.0
G168,1204899,"@AmazonHelp order-403-9452604-9169931 get item but quality was not good,so i want to return but delivery boy call me and deny to take it .",,,,,english_or_unknown,,,,,boundary_case,13.0
G169,1204934,"@115850 @AmazonHelp I am waiting for all pending Result. time up now, you declare all pending Result yes or no ??? reply fast @123288 https://t.co/cqklG0oK1F",,,,,english_or_unknown,,,,,short_noisy,10.0
G170,1208761,@115850 here is Prime delivery time for order ORDER # 406-2506969-8731519. What is the use of @115850 Prime??? https://t.co/2o79JDkneS,,,,,english_or_unknown,,,,,short_noisy,10.0
G171,1211717,"@115850 I have not received the item but it has been updated in Amazon as package delivered to customer, order #  408-4104118-0933938",,,,,english_or_unknown,,,,,boundary_case,13.0
G172,1216240,@118919  I have placed an order which says delivered but    I have never received the same.initially they have delayed delivery and  then not even received a product..not expected from Amazon feeling like cheated order I'd 402-2538217-1550759,,,,,english_or_unknown,,,,,boundary_case,13.0
G173,1221830,"@AmazonHelp 405-5346082-8912369 It's an my product id...
I don't need cheque I need refund my money back in my bank account ....",,,,,english_or_unknown,,,,,boundary_case,13.0
G174,1223039,"@AmazonHelp order id 405-8226026-7249114, not delivered, no courier man contacted, falsely updated refused to take , now you are not returning my money, CC say money will return after receiving items, please return my money",,,,,english_or_unknown,,,,,boundary_case,13.0
G175,1245862,@115850 received a defective product for order no 406-5404751-6251529. Need replacement or return. Broken piece can't be installed. Help.,,,,,english_or_unknown,,,,,boundary_case,13.0
G176,1246371,"@115821 Very very fraud, 
Online shopping &amp; online payment 
Even not received the product 
402-9266837-9705148
Payment done online too",,,,,english_or_unknown,,,,,boundary_case,13.0
G177,1248318,@215765 @AmazonHelp @12339 i never request for late delivery then how you post like this ??? Why put wrong msg ?? https://t.co/7y3WVPICvk,,,,,english_or_unknown,,,,,short_noisy,10.0
G178,1252975,@115821 fail!!! 2 day shipping is really 4 days to deliver... and I'm getting a bunch of mumbo jumbo from your customer service! @115851 https://t.co/lkB9GxI8Hi,,,,,english_or_unknown,,,,,short_noisy,10.0
G179,1253362,"@116316 Hi, I have never received this order or a refund for it, can you have a look? Order #: 306-3301478-8770714",,,,,english_or_unknown,,,,,boundary_case,13.0
G180,1256965,"@AmazonHelp What is the refund status of Order# 406-8719185-6477969? 

It's been 5 days and I do not have any updates.",,,,,english_or_unknown,,,,,boundary_case,13.0
G181,1261157,"@AmazonHelp Two items shipped separate, due today, delivery firm never received. Order: 204-9937770-9905926 maybe someone could call me.",,,,,english_or_unknown,,,,,boundary_case,13.0
G182,1264600,"@139570 @416119 Yeah well, I ordered a one plus 5 from your EXCLUSIVE SALES PARTNER AND GOT THIS!!!!!!!! @AmazonHelp DISGUSTING! https://t.co/zMB6ifu8aF",,,,,english_or_unknown,,,,,short_noisy,10.0
G183,1265092,"@AmazonHelp Another day another order another problem Order # 026-4946477-2030716 should have been here by 1.00pm today but normal crap @115830 service nothing arrived. Why does this keep happening. Where is my order,",,,,,english_or_unknown,,,,,boundary_case,13.0
G184,1271579,"@AmazonHelp @115850 I havnt got my refund yet...for my order no. 406-5219321-0534711, one of the red bull can was damaged.",,,,,english_or_unknown,,,,,boundary_case,13.0
G185,127437,@115850 ORDER # 406-2179065-2661962 was supposed to be delivered between 17-22nd Nov. Still waiting for delivery of my package and no reply from seller as well. @AmazonHelp,,,,,english_or_unknown,,,,,boundary_case,13.0
G186,1274814,"@115850 facing issues wth refund order #403-6403312-9908348, 403-3062193-8546754. Pls sort out long pending. did account updation 3 times",,,,,english_or_unknown,,,,,boundary_case,13.0
G187,1283107,"@116324 @53957 @115830 Not only that the ticket said it was in the shed, the only shed they had access to is not mine!!! https://t.co/vrowIiRK02",,,,,english_or_unknown,,,,,short_noisy,10.0
G188,128714,"@AmazonHelp Amazon.in Order  # 408-1528738-0576311
I ordered shoes which need to be delivered yesterday. I m a prime member and it was assured delivery by yesterday. Delivery agent post wrong update that customer was not reachable when we already had conversation on delivery.",,,,,english_or_unknown,,,,,boundary_case,13.0
G189,132565,"@115850 I have had an unpleasant experience dealing with Amazon with reference to order no # 408-5217257-7653153, from delivery, to return pickup and now refund has been delayed a lot",,,,,english_or_unknown,,,,,boundary_case,13.0
G190,1356275,@117795 @115850 What is wrong??? https://t.co/W40o4ix5cn,,,,,english_or_unknown,,,,,short_noisy,11.0
G191,1357717,"#AmazonIndia delivers junk battery,refuses to entertain return filed after 24 hours of delivery ORDER # 406-2524222-8704336 for Prime member",,,,,english_or_unknown,,,,,boundary_case,13.0
G192,1357890,@AmazonHelp Now I received another email about the account being locked but no update on the fax I sent. I want to cancel the order 303-8801510-7620364,,,,,english_or_unknown,,,,,boundary_case,13.0
G193,1363585,"@115850 I received a damaged product from order 402-3609539-4169916. I contacted seller ""ibhejo"" but till now got no response. Please help",,,,,english_or_unknown,,,,,boundary_case,13.0
G194,2216684,@AmazonHelp @115850 can someone help please ??? https://t.co/eWwCFs3YM8,,,,,english_or_unknown,,,,,short_noisy,11.0
G195,2551376,@98978 @120540 @98979 #Presidenti arrivato!!! https://t.co/cbALGib7TI,,,,,english_or_unknown,,,,,short_noisy,11.0
G196,38148,So geht das nicht!!! @116316 @124285 https://t.co/WBR3vJYCuA,,,,,german,,,,,short_noisy,11.0
G197,530001,@AmazonHelp THERES MORE !!!! @115830 https://t.co/JRdxSl5ghg,,,,,english_or_unknown,,,,,short_noisy,11.0
G198,752372,"Echt jetzt, @124285 @116316??? https://t.co/gFhgli3pY6",,,,,english_or_unknown,,,,,short_noisy,11.0
G199,787915,@AmazonHelp 12 hours ??? @115821 @117795 @118919 https://t.co/e5arQ4QJ2n,,,,,english_or_unknown,,,,,short_noisy,11.0
G200,980710,@AmazonHelp @115830 left by your driver!!! https://t.co/5sF5jFna2b,,,,,english_or_unknown,,,,,short_noisy,11.0
